序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
336,"FD(150℃）
防火阀",FD,1600*500,GB15930-2007,2,个,2292,4584,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
337,"FD(150℃）
防火阀",FD,1250*630,GB15930-2007,1,个,2124,2124,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
338,"FD(150℃）
防火阀",FD,1000*400,GB15930-2007,3,个,1500,4500,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
339,"FD(150℃）
防火阀",FD,2000*1000,GB15930-2007,1,个,3864,3864,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
340,"FD(150℃）
防火阀",FD,1900*850,GB15930-2007,1,个,3406,3406,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
341,"FD(150℃）
防火阀",FD,800*1000,GB15930-2007,2,个,2076,4152,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
342,"FD(150℃）
防火阀",FD,1800*500,GB15930-2007,2,个,2508,5016,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
343,"FD(150℃）
防火阀",FD,1400*1250,GB15930-2007,2,个,3432,6864,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
344,"FD(150℃）
防火阀",FD,630*400,GB15930-2007,21,个,1127,23667,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
345,"FD(150℃）
防火阀",FD,1000*500,GB15930-2007,1,个,1644,1644,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
346,"FD(150℃）
防火阀",FD,1250*500,GB15930-2007,3,个,1914,5742,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
347,"FD(150℃）
防火阀",FD,800*400,GB15930-2007,2,个,1298,2596,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
348,"FD(150℃）
防火阀",FD,1800*630,GB15930-2007,1,个,2830,2830,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
349,"FD(150℃）
防火阀",FD,630*900,GB15930-2007,1,个,1713,1713,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
350,"FD(150℃）
防火阀",FD,1250*1400,GB15930-2007,4,个,3432,13728,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
351,"FD(150℃）
防火阀",FD,1600*800,GB15930-2007,1,个,2913,2913,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
352,"FD(150℃）
防火阀",FD,500*500,GB15930-2007,1,个,1104,1104,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
353,"FD(150℃）
防火阀",FD,1400*1000,GB15930-2007,1,个,3000,3000,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
354,"FD(150℃）
防火阀",FD,800*2000,GB15930-2007,1,个,3432,3432,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
355,"FD(150℃）
防火阀",FD,1700*500,GB15930-2007,1,个,2400,2400,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
356,"FD(150℃）
防火阀",FD,1250*400,GB15930-2007,10,个,1752,17520,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
357,"FD(150℃）
防火阀",FD,1000*2000,GB15930-2007,3,个,3864,11592,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
358,"FD(150℃）
防火阀",FD,1250*1000,GB15930-2007,9,个,2784,25056,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
359,"FD(150℃）
防火阀",FD,2000*1250,GB15930-2007,1,个,4464,4464,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
360,"FD(150℃）
防火阀",FD,1700*800,GB15930-2007,1,个,3043,3043,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
361,"FD(150℃）
防火阀",FD,1250*1250,GB15930-2007,3,个,3189,9567,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
362,"FD(150℃）
防火阀",FD,1250*900,GB15930-2007,2,个,2622,5244,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
363,"FD(150℃）
防火阀",FD,1400*1300,GB15930-2007,1,个,3518,3518,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
364,"FD(150℃）
防火阀",FD,900*2000,GB15930-2007,1,个,3648,3648,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
365,"BED(150℃）
防火阀",BED,1600*800,GB15930-2007,1,个,3241,3241,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
366,"BED(150℃）
防火阀",BED,1600*500,GB15930-2007,2,个,2456,4912,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
367,"BED(150℃）
防火阀",BED,1000*320,GB15930-2007,1,个,1548,1548,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
368,"BED(150℃）
防火阀",BED,1250*630,GB15930-2007,2,个,2288,4576,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
369,"BED(150℃）
防火阀",BED,1000*400,GB15930-2007,5,个,1664,8320,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
370,"FDS(150℃）
防火阀",FDS,1600*3000,GB15930-2007,1,个,7212,7212,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
371,"FDS(150℃）
防火阀",FDS,1250*1600,GB15930-2007,1,个,3756,3756,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
372,"FDS(150℃）
防火阀",FDS,900*630,GB15930-2007,1,个,1713,1713,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
373,"AH
风口",AH,1400*1800,JG/T14-2010,5,个,596,2980,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
374,"AH
风口",AH,1600*1600,JG/T14-2010,20,个,605,12100,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
375,"AH
风口",AH,1000*800,JG/T14-2010,5,个,210,1050,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
376,"AH
风口",AH,2000*630,JG/T14-2010,1,个,319,319,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
377,"AH
风口",AH,500*300,JG/T14-2010,33,个,57,1881,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
378,"AH
风口",AH,1500*2500,JG/T14-2010,1,个,870,870,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
379,"AH
风口",AH,1500*1000,JG/T14-2010,1,个,369,369,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
380,"AH
风口",AH,500*120,JG/T14-2010,235,个,35,8225,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
381,"AH
风口",AH,800*600,JG/T14-2010,1,个,136,136,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
382,"AH
风口",AH,1400*600,JG/T14-2010,1,个,221,221,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
383,"AH
风口",AH,1200*1000,JG/T14-2010,1,个,301,301,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
384,"AH
风口",AH,1250*2500,JG/T14-2010,1,个,733,733,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
385,"AH
风口",AH,1500*600,JG/T14-2010,1,个,235,235,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
386,"AH
风口",AH,1200*600,JG/T14-2010,1,个,192,192,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
387,"AH/D
风口",AH/D,630*400,JG/T14-2010,20,个,122,2440,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
388,"AH/D
风口",AH/D,2000*1200,JG/T14-2010,1,个,837,837,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
389,"AH/D
风口",AH/D,800*630,JG/T14-2010,10,个,208,2080,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
390,"SD
旋流风口",SD,Φ400,JG/T14-2010,50,个,400,20000,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
391,"BED
70°防烟防火阀",BED,1000*800,GB15930-2007,1,个,638,638,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
392,"BED
70°防烟防火阀",BED,1000*250,GB15930-2007,2,个,471,942,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
393,"BED
70°防烟防火阀",BED,630*630,GB15930-2007,1,个,495,495,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
394,"BED
70°防烟防火阀",BED,800*630,GB15930-2007,1,个,537,537,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
395,"BED
70°防烟防火阀",BED,1600*500,GB15930-2007,1,个,896,896,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
396,"BED
70°防烟防火阀",BED,1250*500,GB15930-2007,2,个,604,1208,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
397,"BED
70°防烟防火阀",BED,1000*400,GB15930-2007,1,个,516,516,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
398,"BED
70°防烟防火阀",BED,630*320,GB15930-2007,10,个,418,4180,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
399,"BED
70°防烟防火阀",BED,800*400,GB15930-2007,5,个,474,2370,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
400,"BED
70°防烟防火阀",BED,1000*500,GB15930-2007,1,个,547,547,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
401,"BED
70°防烟防火阀",BED,500*400,GB15930-2007,1,个,410,410,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
402,"BED
70°防烟防火阀",BED,400*630,GB15930-2007,1,个,438,438,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
403,"BED
70°防烟防火阀",BED,500*630,GB15930-2007,1,个,462,462,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
404,"BED
70°防烟防火阀",BED,800*800,GB15930-2007,1,个,583,583,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
405,"BED
70°防烟防火阀",BED,800*500,GB15930-2007,3,个,501,1503,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
406,"BED
70°防烟防火阀",BED,630*160,GB15930-2007,1,个,378,378,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
407,"BED
70°防烟防火阀",BED,1000*320,GB15930-2007,2,个,492,984,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
408,"BED
70°防烟防火阀",BED,1400*500,GB15930-2007,1,个,851,851,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
409,"BED
70°防烟防火阀",BED,2000*800,GB15930-2007,1,个,1124,1124,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
410,"BED
70°防烟防火阀",BED,2000*630,GB15930-2007,2,个,1047,2094,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
411,"BED
70°防烟防火阀",BED,1600*800,GB15930-2007,1,个,1015,1015,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
412,"BED
70°防烟防火阀",BED,1600*450,GB15930-2007,1,个,877,877,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
413,"BED
70°防烟防火阀",BED,1600*400,GB15930-2007,2,个,857,1714,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
414,"BED
70°防烟防火阀",BED,1600*630,GB15930-2007,2,个,948,1896,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
415,"BED
70°防烟防火阀",BED,2500*500,GB15930-2007,1,个,1208,1208,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
416,"BED
70°防烟防火阀",BED,2500*800,GB15930-2007,3,个,1413,4239,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
417,"FDS
70°防火阀",FDS,1250*1000,GB15930-2007,25,个,676,16900,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
418,"FDS
70°防火阀",FDS,1600*1000,GB15930-2007,6,个,782,4692,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
419,"FDS
70°防火阀",FDS,1600*800,GB15930-2007,6,个,703,4218,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
420,"FDS
70°防火阀",FDS,1500*1000,GB15930-2007,8,个,752,6016,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
421,"FDS
70°防火阀",FDS,2000*630,GB15930-2007,1,个,735,735,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
422,"FDS
70°防火阀",FDS,1250*500,GB15930-2007,2,个,448,896,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
423,"FDS
70°防火阀",FDS,1600*400,GB15930-2007,5,个,545,2725,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
424,"FDS
70°防火阀",FDS,2500*350,GB15930-2007,3,个,794,2382,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
425,"FDS
70°防火阀",FDS,1250*2000,GB15930-2007,6,个,1352,8112,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
426,"FDS
70°防火阀",FDS,1250*800,GB15930-2007,1,个,551,551,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
427,"FDS
70°防火阀",FDS,630*320,GB15930-2007,1,个,262,262,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
428,"FDS
70°防火阀",FDS,1000*500,GB15930-2007,3,个,391,1173,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
429,"FDS
70°防火阀",FDS,2000*1000,GB15930-2007,1,个,904,904,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
430,"FDS
70°防火阀",FDS,2500*1000,GB15930-2007,2,个,1352,2704,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
431,"FDS
70°防火阀",FDS,1000*800,GB15930-2007,1,个,482,482,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
432,"FDS
70°防火阀",FDS,800*500,GB15930-2007,2,个,345,690,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
433,"FDS
70°防火阀",FDS,800*400,GB15930-2007,2,个,318,636,扬州新扬,2025.12.10，无预付款；货到现场次月支付至送货金额的80%；竣工验收合格后支付至送货金额的90%；竣工结算完成后支付至送货金额的97%；质保金3%保留两年(质保期自竣工验收合格后算起)。
