1-1,柜号：2ZXF、2BXF,型号：,,,,名称：,,
1,壳体,600*800*250,只,1,321,321,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,小型隔离开关,5TH1(P50) 63A 3P,只,2,61.86,123.72,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,双电源自动转换开关,OTM32F4C20D380C,只,1,1684.63,1684.63,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,微型断路器,E50 MCB 1P C16A 6kA,只,4,10.16,40.64,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,元器件小计,,,,,3278.71,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,人工费,,,,,308,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,铜排,,,,,30,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,单台合计,,,,,3616.71,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,3616.71,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-547,柜号：10717-ALE1,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,600*800*250,只,1,321,321,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,小型隔离开关,5TH1(P50) 63A 3P,只,2,61.86,123.72,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,双电源自动转换开关,OTM32F4C20D380C,只,1,1684.63,1684.63,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,微型断路器,E50 MCB 1P C16A 6kA,只,4,10.16,40.64,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,元器件小计,,,,,3278.71,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,人工费,,,,,308,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,铜排,,,,,30,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,单台合计,,,,,3616.71,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,3616.71,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-548,柜号：10-RAEPY2,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1800*450,只,1,999,999,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,隔离开关,3KD3-200A-3P-灰色手柄,只,2,535.71,1071.42,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,双电源自动转换开关,OTM200E4C20D380CN,只,1,4496.99,4496.99,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,塑壳断路器,D1C 125 MF100/1200 F F 3P,只,2,230.37,460.74,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,1,53.51,53.51,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,过负荷监控,过负荷监控,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,8190.38,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,495,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,500,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,9185.38,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,9185.38,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-549,柜号：10-RAEPY2-1,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1600*400,只,1,864,864,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,隔离开关,3KD3-160A-3P-灰色手柄,只,1,340.95,340.95,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,塑壳断路器,D1C 125 MF50/600 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,交流接触器,LC1R0910M5N+LARN22N,只,1,22.69,22.69,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,热继电器,LRR22N,只,1,35.35,35.35,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,微型断路器,E50 MCB 1P C10A 6kA,只,2,11.18,22.36,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,塑壳断路器,D1C 125 MF50/600 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,交流接触器,LC1R1810M5N+LARN22N,只,1,30.37,30.37,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,热继电器,LRR06N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,1,53.51,53.51,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,1,53.51,53.51,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,过负荷监控,过负荷监控,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,余压控制器,余压控制器,只,2,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,元器件小计,,,,,1911.05,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
15,人工费,,,,,605,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
16,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
17,铜排,,,,,75,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
18,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
19,单台合计,,,,,2591.05,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,2591.05,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-550,柜号：10-RAEPY2-2,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,800*1600*400,只,1,864,864,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,隔离开关,3KD3-160A-3P-灰色手柄,只,1,340.95,340.95,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,塑壳断路器,D1C 125 MF80/960 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,交流接触器,LC1R2510M5N+LARN22N,只,1,36.55,36.55,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,塑壳断路器,D1C 125 MF25/384 F F 3P,只,1,230.37,230.37,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,交流接触器,LC1R65M5N+LARN22N,只,1,147.25,147.25,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,热继电器,LRR07N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,热继电器,LRR12N,只,1,27.57,27.57,施耐德,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,1,53.51,53.51,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,1,53.51,53.51,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,过负荷监控,过负荷监控,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,元器件小计,,,,,2011.65,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,人工费,,,,,605,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
15,铜排,,,,,75,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
16,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
17,单台合计,,,,,2691.65,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,2691.65,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-551,柜号：1010-AP1,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,600*900*250,只,1,355.5,355.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,塑壳断路器,D1C 125 TMF40/400 F F 3P+SOR+1Q,只,1,360.23,360.23,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,电气火灾监控探测器,电气火灾监控器 报警电流300mA,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,电流互感器,BH-0.66 Ⅰ 40/5 实芯 0.5级,只,3,29.775,89.33,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,电度表,ADL400-CF,只,1,450,450,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,微型断路器,E50 MCB 1P C16A 6kA,只,5,10.16,50.8,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,微型漏电断路器,E50 RCBO 1P+N C16A 30mA 6kA,只,2,53.51,107.02,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,元器件小计,,,,,2521.6,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,人工费,,,,,330,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
11,辅材,,,,,,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
12,铜排,,,,,30,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
13,成套费,,,,,0,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
14,单台合计,,,,,2881.6,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
,总计,,台,1,,2881.6,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1-552,柜号：1028-AP1,型号：,,,,名称：,,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
1,壳体,600*900*250,只,1,355.5,355.5,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,塑壳断路器,D1C 125 TMF40/400 F F 3P+SOR+1Q,只,1,360.23,360.23,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
